Source,Year,Ceremony,Category,Nominee (Person),Nominee (Film),Winner
oscars,2016,89th,Actor in a Leading Role ,Casey Affleck,Manchester by the Sea,TRUE
oscars,2016,89th,Actor in a Leading Role ,Andrew Garfield,Hacksaw Ridge,FALSE
oscars,2016,89th,Actor in a Leading Role ,Ryan Gosling,La La Land,FALSE
oscars,2016,89th,Actor in a Leading Role ,Viggo Mortensen,Captain Fantastic,FALSE
oscars,2016,89th,Actor in a Leading Role ,Denzel Washington,Fences,FALSE
oscars,2016,89th,Actress in a Leading Role,Isabelle Huppert,Elle,FALSE
oscars,2016,89th,Actress in a Leading Role,Ruth Negga,Loving,FALSE
oscars,2016,89th,Actress in a Leading Role,Natalie Portman,Jackie,FALSE
oscars,2016,89th,Actress in a Leading Role,Emma Stone,La La Land,TRUE
oscars,2016,89th,Actress in a Leading Role,Meryl Streep,Florence Foster Jenkins,FALSE
oscars,2016,89th,Directing,Denis Villeneuve,Arrival,FALSE
oscars,2016,89th,Directing,Mel Gibson,Hacksaw Ridge,FALSE
oscars,2016,89th,Directing,Damien Chazelle,La La Land,FALSE
oscars,2016,89th,Directing,Kenneth Lonergan,Manchester by the Sea,FALSE
oscars,2016,89th,Directing,Barry Jenkins,Moonlight,FALSE
oscars,2016,89th,Best Picture,,Arrival,FALSE
oscars,2016,89th,Best Picture,,Fences,FALSE
oscars,2016,89th,Best Picture,,Hacksaw Ridge,FALSE
oscars,2016,89th,Best Picture,,Hell or High Water,FALSE
oscars,2016,89th,Best Picture,,Hidden Figures,FALSE
oscars,2016,89th,Best Picture,,La La Land,FALSE
oscars,2016,89th,Best Picture,,Lion,FALSE
oscars,2016,89th,Best Picture,,Manchester by the Sea,FALSE
oscars,2016,89th,Best Picture,,Moonlight,TRUE
oscars,2016,89th,Writing (Adapted Screenplay),Eric Heisserer,Arrival,FALSE
oscars,2016,89th,Writing (Adapted Screenplay),August Wilson,Fences,FALSE
oscars,2016,89th,Writing (Adapted Screenplay),"Allison Scroeder, Theodore Melfi",Hidden Figures,FALSE
oscars,2016,89th,Writing (Adapted Screenplay),Luke Davies,Lion,FALSE
oscars,2016,89th,Writing (Adapted Screenplay),Barry Jenkins,Moonlight,TRUE
oscars,2016,89th,Writing (Original Screenplay),Taylor Sheridan,Hell or High Water,FALSE
oscars,2016,89th,Writing (Original Screenplay),Damien Chazelle,La La Land,FALSE
oscars,2016,89th,Writing (Original Screenplay),Yorgos Lanthimos,The Lobster,FALSE
oscars,2016,89th,Writing (Original Screenplay),Kenneth Lonergan,Manchester by the Sea,TRUE
oscars,2016,89th,Writing (Original Screenplay),Mike Mills,20th Century Women,FALSE
oscars,2017,90th,Actor in a Leading Role ,Timothee Chalamet,Call Me By Your Name,FALSE
oscars,2017,90th,Actor in a Leading Role ,Daniel Day-Lewis,Phantom Thread,FALSE
oscars,2017,90th,Actor in a Leading Role ,Daniel Kaluuya,Get Out,FALSE
oscars,2017,90th,Actor in a Leading Role ,Gary Oldman,Darkest Hour,TRUE
oscars,2017,90th,Actor in a Leading Role ,Denzel Washington,"Roman J. Israel, Esq.",FALSE
oscars,2017,90th,Actress in a Leading Role,Frances McDormand,"Three Billboards outside Ebbing, Missouri",TRUE
oscars,2017,90th,Actress in a Leading Role,Margot Robbie,"I, Tonya",FALSE
oscars,2017,90th,Actress in a Leading Role,Saoirse Ronan,Lady Bird,FALSE
oscars,2017,90th,Actress in a Leading Role,Sally Hawkins,The Shape of Water,FALSE
oscars,2017,90th,Actress in a Leading Role,Meryl Streep,The Post,FALSE
oscars,2017,90th,Directing,Christopher Nolan,Dunkirk,FALSE
oscars,2017,90th,Directing,Jordan Peele,Get Out,FALSE
oscars,2017,90th,Directing,Greta Gerwig,Lady Bird,FALSE
oscars,2017,90th,Directing,Paul Thomas Anderson,Phantom Thread,FALSE
oscars,2017,90th,Directing,Guillermo del Toro,The Shape of Water,TRUE
oscars,2017,90th,Best Picture,,Call Me By Your Name,FALSE
oscars,2017,90th,Best Picture,,Darkest Hour,FALSE
oscars,2017,90th,Best Picture,,Dunkirk,FALSE
oscars,2017,90th,Best Picture,,Get Out,FALSE
oscars,2017,90th,Best Picture,,Lady Bird,FALSE
oscars,2017,90th,Best Picture,,Phantom Thread,FALSE
oscars,2017,90th,Best Picture,,The Post,FALSE
oscars,2017,90th,Best Picture,,The Shape of Water,TRUE
