File,Source,Year,Ceremony,Category,Nominee (Person),Title,Winner
Academy Awards 2016-2025 - Sheet1.csv,oscars,2016,89th,Actor in a Leading Role,Casey Affleck,Manchester by the Sea,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2016,89th,Actor in a Leading Role,Ryan Gosling,La La Land,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2016,89th,Actress in a Leading Role,Emma Stone,La La Land,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2016,89th,Directing,Damien Chazelle,La La Land,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2016,89th,Directing,Kenneth Lonergan,Manchester by the Sea,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2016,89th,Best Picture,,La La Land,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2016,89th,Best Picture,,Manchester by the Sea,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2016,89th,Writing (Original Screenplay),Damien Chazelle,La La Land,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2016,89th,Writing (Original Screenplay),Kenneth Lonergan,Manchester by the Sea,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2017,90th,Actress in a Leading Role,Sally Hawkins,The Shape of Water,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2017,90th,Directing,Guillermo del Toro,The Shape of Water,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2017,90th,Best Picture,,The Shape of Water,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2017,90th,Writing (Original Screenplay),Guillermo del Toro,The Shape of Water,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2018,91st,Actor in a Leading Role,Christian Bale,Vice,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2018,91st,Directing,Adam McKay,Vice,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2018,91st,Best Picture,,Vice,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2018,91st,Writing (Original Screenplay),Adam McKay,Vice,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2019,92nd,Actor in a Leading Role,Adam Driver,Marriage Story,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2019,92nd,Actress in a Leading Role,Scarlett Johansson,Marriage Story,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2019,92nd,Best Picture,,Marriage Story,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2019,92nd,Writing (Original Screenplay),Noah Baumbavk,Marriage Story,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2020,93rd,Actress in a Leading Role,Frances McDormand,Nomadland,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2020,93rd,Actress in a Leading Role,Carey Mulligan,Promising Young Woman,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2020,93rd,Directing,Chloe Zhao,Nomadland,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2020,93rd,Directing,Emerald Fennell,Promising Young Woman,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2020,93rd,Best Picture,,Nomadland,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2020,93rd,Best Picture,,Promising Young Woman,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2020,93rd,Writing (Adapted Screenplay),Chloe Zhao,Nomadland,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2020,93rd,Writing (Original Screenplay),Emerald Fennell,Promising Young Woman,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2021,94th,Actor in a Leading Role,Benedict Cumberbatch,The Power of the Dog,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2021,94th,Directing,Jane Campion,The Power of the Dog,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2021,94th,Best Picture,,The Power of the Dog,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2021,94th,Writing (Adapted Screenplay),Jane Campion,The Power of the Dog,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2022,95th,Actor in a Leading Role,Colin Farrell,The Banshees of Inisherin,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2022,95th,Actress in a Leading Role,Michelle Williams,The Fabelmans,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2022,95th,Actress in a Leading Role,Michelle Yeoh,Everything Everywhere All at Once,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2022,95th,Directing,Martin McDonagh,The Banshees of Inisherin,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2022,95th,Directing,"Daniel Kwan, Daniel Scheinert",Everything Everywhere All at Once,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2022,95th,Directing,Steven Spielberg,The Fabelmans,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2022,95th,Best Picture,,The Banshees of Inisherin,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2022,95th,Best Picture,,Everything Everywhere All at Once,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2022,95th,Best Picture,,The Fabelmans,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2022,95th,Writing (Original Screenplay),Martin McDonagh,The Banshees of Inisherin,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2022,95th,Writing (Original Screenplay),"Daniel Kwan, Daniel Scheinert",Everything Everywhere All at Once,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2022,95th,Writing (Original Screenplay),"Steven Spielberg, Tony Kushner",The Fabelmans,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Actor in a Leading Role,Bradley Cooper,Maestro,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Actor in a Leading Role,Cillian Murphy,Oppenheimer,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Actress in a Leading Role,Lily Gladstone,Killers of the Flower Moon,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Actress in a Leading Role,Carey Mulligan,Maestro,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Actress in a Leading Role,Emma Stone,Poor Things,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Directing,Martin Scorsese,Killers of the Flower Moon,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Directing,Christopher Nolan,Oppenheimer,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Directing,Yorgos Lanthimos,Poor Things,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Best Picture,,Killers of the Flower Moon,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Best Picture,,Maestro,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Best Picture,,Oppenheimer,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Best Picture,,Poor Things,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Writing (Adapted Screenplay),Christopher Nolan,Oppenheimer,FALSE
