source,year,ceremony,category,nominee (person),title,winner
golden globes,2015,73,Best Motion Picture - Musical or Comedy,,"Big Short, The",FALSE
golden globes,2015,73,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Christian Bale,"Big Short, The",FALSE
golden globes,2015,73,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Steve Carell,"Big Short, The",FALSE
golden globes,2015,73,Best Screenplay - Motion Picture,"Charles Randolph, Adam McKay","Big Short, The",FALSE
golden globes,2015,73,Best Performance by an Actress in a Motion Picture - Drama,Saoirse Ronan,Brooklyn,FALSE
golden globes,2015,73,Best Motion Picture - Drama,,Carol,FALSE
golden globes,2015,73,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Carol,FALSE
golden globes,2015,73,Best Performance by an Actress in a Motion Picture - Drama,Rooney Mara,Carol,FALSE
golden globes,2015,73,Best Director - Motion Picture,Todd Haynes,Carol,FALSE
golden globes,2015,73,Best Performance by an Actor in a Motion Picture - Drama,Will Smith,Concussion,FALSE
golden globes,2015,73,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Al Pacino,Danny Collins,FALSE
golden globes,2015,73,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lily Tomlin,Grandma,FALSE
golden globes,2015,73,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mark Ruffalo,Infinitely Polar Bear,FALSE
golden globes,2015,73,Best Motion Picture - Musical or Comedy,,Joy,FALSE
golden globes,2015,73,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lawrence,Joy,TRUE
golden globes,2015,73,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Maggie Smith,"Lady in the Van, The",FALSE
golden globes,2015,73,Best Motion Picture - Drama,,Mad Max: Fury Road,FALSE
golden globes,2015,73,Best Director - Motion Picture,George Miller,Mad Max: Fury Road,FALSE
golden globes,2015,73,Best Motion Picture - Drama,,Room,FALSE
golden globes,2015,73,Best Performance by an Actress in a Motion Picture - Drama,Brie Larson,Room,TRUE
golden globes,2015,73,Best Screenplay - Motion Picture,Emma Donoghue,Room,FALSE
golden globes,2015,73,Best Motion Picture - Drama,,Spotlight,FALSE
golden globes,2015,73,Best Director - Motion Picture,Tom McCarthy,Spotlight,FALSE
golden globes,2015,73,Best Screenplay - Motion Picture,"Tom McCarthy, Josh Singer",Spotlight,FALSE
golden globes,2015,73,Best Motion Picture - Musical or Comedy,,Spy,FALSE
golden globes,2015,73,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Melissa McCarthy,Spy,FALSE
golden globes,2015,73,Best Performance by an Actor in a Motion Picture - Drama,Michael Fassbender,Steve Jobs,FALSE
golden globes,2015,73,Best Screenplay - Motion Picture,Aaron Sorkin,Steve Jobs,TRUE
golden globes,2015,73,Best Performance by an Actress in a Motion Picture - Drama,Alicia Vikander,The Danish Girl,FALSE
golden globes,2015,73,Best Performance by an Actor in a Motion Picture - Drama,Eddie Redmayne,The Danish Girl,FALSE
golden globes,2015,73,Best Screenplay - Motion Picture,Quentin Tarantino,The Hateful Eight,FALSE
golden globes,2015,73,Best Motion Picture - Musical or Comedy,,The Martian,TRUE
golden globes,2015,73,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Matt Damon,The Martian,TRUE
golden globes,2015,73,Best Director - Motion Picture,Ridley Scott,The Martian,FALSE
golden globes,2015,73,Best Motion Picture - Drama,,The Revenant,TRUE
golden globes,2015,73,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,The Revenant,TRUE
golden globes,2015,73,Best Director - Motion Picture,Alejandro González Iñárritu,The Revenant,TRUE
golden globes,2015,73,Best Motion Picture - Musical or Comedy,,Trainwreck,FALSE
golden globes,2015,73,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Schumer,Trainwreck,FALSE
golden globes,2015,73,Best Performance by an Actor in a Motion Picture - Drama,Bryan Cranston,Trumbo,FALSE
golden globes,2016,74,Best Motion Picture - Musical or Comedy,,20th Century Women,FALSE
golden globes,2016,74,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Annette Bening,20th Century Women,FALSE
golden globes,2016,74,Best Performance by an Actress in a Motion Picture - Drama,Amy Adams,Arrival,FALSE
golden globes,2016,74,Best Performance by an Actor in a Motion Picture - Drama,Viggo Mortensen,Captain Fantastic,FALSE
golden globes,2016,74,Best Motion Picture - Musical or Comedy,,Deadpool,FALSE
golden globes,2016,74,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Reynolds,Deadpool,FALSE
golden globes,2016,74,Best Performance by an Actress in a Motion Picture - Drama,Isabelle Huppert,Elle,TRUE
golden globes,2016,74,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,Fences,FALSE
golden globes,2016,74,Best Motion Picture - Musical or Comedy,,Florence Foster Jenkins,FALSE
golden globes,2016,74,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Florence Foster Jenkins,FALSE
golden globes,2016,74,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,Florence Foster Jenkins,FALSE
golden globes,2016,74,Best Motion Picture - Drama,,Hacksaw Ridge,FALSE
golden globes,2016,74,Best Performance by an Actor in a Motion Picture - Drama,Andrew Garfield,Hacksaw Ridge,FALSE
golden globes,2016,74,Best Director - Motion Picture,Mel Gibson,Hacksaw Ridge,FALSE
golden globes,2016,74,Best Motion Picture - Drama,,Hell or High Water,FALSE
golden globes,2016,74,Best Screenplay - Motion Picture,Taylor Sheridan,Hell or High Water,FALSE
golden globes,2016,74,Best Performance by an Actress in a Motion Picture - Drama,Natalie Portman,Jackie,FALSE
golden globes,2016,74,Best Motion Picture - Musical or Comedy,,La La Land,TRUE
golden globes,2016,74,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,La La Land,TRUE
golden globes,2016,74,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Gosling,La La Land,TRUE
golden globes,2016,74,Best Director - Motion Picture,Damien Chazelle,La La Land,TRUE
golden globes,2016,74,Best Screenplay - Motion Picture,Damien Chazelle,La La Land,TRUE
golden globes,2016,74,Best Motion Picture - Drama,,Lion,FALSE
golden globes,2016,74,Best Performance by an Actress in a Motion Picture - Drama,Ruth Negga,Loving,FALSE
golden globes,2016,74,Best Performance by an Actor in a Motion Picture - Drama,Joel Edgerton,Loving,FALSE
golden globes,2016,74,Best Motion Picture - Drama,,Manchester by the Sea,FALSE
golden globes,2016,74,Best Performance by an Actor in a Motion Picture - Drama,Casey Affleck,Manchester by the Sea,TRUE
golden globes,2016,74,Best Director - Motion Picture,Kenneth Lonergan,Manchester by the Sea,FALSE
golden globes,2016,74,Best Screenplay - Motion Picture,Kenneth Lonergan,Manchester by the Sea,FALSE
golden globes,2016,74,Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain,Miss Sloane,FALSE
golden globes,2016,74,Best Motion Picture - Drama,,Moonlight,TRUE
golden globes,2016,74,Best Director - Motion Picture,Barry Jenkins,Moonlight,FALSE
golden globes,2016,74,Best Screenplay - Motion Picture,Barry Jenkins,Moonlight,FALSE
golden globes,2016,74,Best Director - Motion Picture,Tom Ford,Nocturnal Animals,FALSE
golden globes,2016,74,Best Screenplay - Motion Picture,Tom Ford,Nocturnal Animals,FALSE
golden globes,2016,74,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lily Collins,Rules Don't Apply,FALSE
golden globes,2016,74,Best Motion Picture - Musical or Comedy,,Sing Street,FALSE
golden globes,2016,74,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Hailee Steinfeld,The Edge of Seventeen,FALSE
golden globes,2016,74,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Colin Farrell,The Lobster,FALSE
golden globes,2016,74,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jonah Hill,War Dogs,FALSE
golden globes,2017,75,Best Performance by an Actress in a Motion Picture - Drama,Michelle Williams,All The Money In The World,FALSE
