Title,Year,total_nominations,total_wins,oscar_nominations,oscar_wins,globe_nominations,globe_wins,genre
La La Land,2016,10,6,5,1,5,5,"Pop Musical, Romantic Comedy, Drama, Musical, Showbiz Drama, Comedy, Romance"
Oppenheimer,2023,8,6,4,3,4,3,"Docudrama, Epic, Historical Epic, Period Drama, Psychological Drama, Biography, Drama, History"
One Battle After Another,2025,9,6,4,3,5,3,"Action Epic, Dark Comedy, Epic, Political Drama, Political Thriller, Psychological Drama, Psychological Thriller, Action, Crime, Drama"
Nomadland,2020,8,5,4,3,4,2,"Road Trip, Tragedy, Drama"
Everything Everywhere All at Once,2022,8,5,4,4,4,1,"Action Epic, Adventure Epic, Dark Comedy, Epic, Fantasy Epic,  Martial Arts, Sci-Fi, Action, Adventure, Comedy"
The Shape of Water,2017,8,4,4,3,4,1,"Dark Fantasy, Dark Romance, Fairy Tale, Psychological Drama, Supernatural Fantasy, Drama, Fantasy, Romance, Sci-Fi"
Anora,2024,8,4,4,4,4,0,"Dark Comedy, Raunchy Comedy, Steamy Romance, Comedy, Drama, Romance"
The Brutalist,2024,8,4,4,1,4,3,"Epic, Psychological Drama, Drama"
Manchester by the Sea,2016,8,3,4,2,4,1,"Psychological Drama, Tragedy, Drama"
The Power of the Dog,2021,8,3,4,1,4,2,"Period Drama, Psychological Drama, Drama, Western"
The Banshees of Inisherin,2022,8,3,4,0,4,3,"Dark Comedy, Period Drama, Psychological Drama, Tragedy, Comedy, Drama"
Poor Things,2023,8,3,4,1,4,2,"Dark Comedy, Psychological Drama, Steampunk, Comedy, Drama, Romance, Sci-Fi"
Hamnet,2025,8,3,4,1,4,2,"Costume Drama, Epic, Historical Epic, Period Drama, Psychological Drama, Romantic Epic, Tragedy, Biography, Drama, History"
The Fabelmans,2022,8,2,4,0,4,2,"Coming-of-Age, Period Drama, Psychological Drama, Showbiz Drama, Teen Drama, Drama"
Sinners,2025,8,2,4,2,4,0,"Folk Horror, Period Drama, Supernatural Horror, Vampire Horror, Action, Drama, Horror, Music, Thriller"
Vice,2018,8,1,4,0,4,1,"Dark Comedy, Period Drama, Political Drama, Satire, Biography, Comedy, Drama, History"
Promising Young Woman,2020,8,1,4,1,4,0,"Psychological Thriller, Suspense Mystery, Tragedy, Whodunnit, Crime, Drama, Mystery, Thriller"
Killers of the Flower Moon,2023,8,1,3,0,5,1,"Epic, Period Drama, Psychological Drama, Tragedy, True Crime,  Western Epic, Crime, Drama, History, Western"
Emilia Perez,2024,8,1,4,0,4,1,"Spanish, Pop Musical, Crime, Drama, Musical, Thriller"
The Substance,2024,8,1,4,0,4,1,"Body Horror, Dark Comedy, Monster Horror, Psychological Horror, Showbiz Drama, Splatter Horror, Tragedy, Drama, Horror, Sci-Fi"
Marriage Story,2019,8,0,4,0,4,0,"Epic, Romantic Epic, Drama, Romance"
Maestro,2023,8,0,4,0,4,0,"Docudrama, Period Drama, Biography, Drama, History, Music, Romance"
Sentimental Value,2025,8,0,4,0,4,0,"Norwegian, Psychological Drama, Showbiz Drama, Drama"
