Film,Year,Genre,Themes,Ending,Source
La La Land,2016,"Pop Musical, Romantic Comedy, Drama, Musical, Showbiz Drama, Comedy, Romance",nostalgia; love vs ambition; what could have been,bittersweet,https://www.imdb.com/title/tt3783958/plotsummary/?ref_=tt_stry_pl#synopsis
The Shape of Water,2017,"Dark Fantasy, Dark Romance, Fairy Tale, Psychological Drama, Supernatural Fantasy, Drama, Fantasy, Romance, Sci-Fi",otherness; marginalized groups; prejudice; connection,happy,https://www.imdb.com/title/tt5580390/plotsummary/?ref_=tt_stry_pl#synopsis
Nomadland,2020,"Road Trip, Tragedy, Drama",economic insecuriity; economic collapse; survival; community,ambiguous; bittersweet,https://www.imdb.com/title/tt9770150/plotsummary/?ref_=tt_stry_pl#synopsis
Everything Everywhere All At Once,2022,"Action, Adventure, Comedy, Sci-Fi",generational trauma; family; immigration; sexuality,happy; ambiguous,https://www.imdb.com/title/tt6710474/plotsummary/?ref_=tt_stry_pl#synopsis
Oppenheimer,2023,"Docudrama, Epic, Historical Epic, Period Drama, Psychological Drama, Biography, Drama, History",power; regret; guilt; weaponized power,sad; bittersweet,https://www.imdb.com/title/tt15398776/plotsummary/?ref_=tt_stry_pl#synopsis
Anora,2024,"Dark Comedy, Raunchy Comedy, Steamy Romance, Comedy, Drama, Romance",immigration; class; power imbalance; sex work,sad,https://www.imdb.com/title/tt28607951/plotsummary/?ref_=tt_stry_pl#synopsis
The Brutalist,2024,"Epic, Psychological Drama, Drama",immigration; labor exploitation; sexual violence; the American Dream,sad; bittersweet,https://www.imdb.com/title/tt8999762/plotsummary/?ref_=tt_stry_pl#synopsis
Hamnet,2025,"Costume Drama, Epic, Historical Epic, Period Drama, Psychological Drama, Romantic Epic, Tragedy, Biography, Drama, History",familial trauma; grief ,sad; ambiguous,https://www.imdb.com/title/tt14905854/plotsummary/?ref_=tt_stry_pl#synopsis
Sinners,2025,"Folk Horror, Period Drama, Supernatural Horror, Vampire Horror, Action, Drama, Horror, Music, Thriller",racial violence; cultural appropriation,bittersweet,https://www.imdb.com/title/tt31193180/plotsummary/?ref_=tt_stry_pl#synopsis
One Battle After Another,2025,"Action Epic, Dark Comedy, Epic, Political Drama, Political Thriller, Psychological Drama, Psychological Thriller, Action, Crime, Drama",resistance; rebellion; familial trauma; immigration; white supremacy,ambiguous; bittersweet,https://www.imdb.com/title/tt30144839/plotsummary/?ref_=tt_stry_pl#synopsis
